Target Audience,Mode,Location,TOPIC,Trainer,month list ,Invited,Attended
ADs and Managers,VC,Zoom,Fireside Chat,"Shraiya Jain, Riaz Thingna",Aug,1163,85
ADs and Managers,VC,Zoom,Fireside Chat,"Ankit Jhamb, Prasad Unnikrishnan ",Nov,1184,122
ADs and Managers,VC,Zoom,Fireside Chat,Ajay Kumar,Apr,598,91
ADs and Managers,VC,Zoom,Fireside Chat,"Shraiya Jain, Jaspreet Singh",Sept,1162,115
ADs and Managers,VC,Zoom,Fireside Chat,"Vishakha Makhija, Neil Killawala",Dec,1185,115
ADs and Managers,VC,Zoom,Fireside Chat,"Vishakha Makhija, Priyanka Gulati",Jun,1163,75
ADs and Managers,VC,Zoom,Fireside Chat,"Vishakha Makhija, Saket Mehra",Sept,1191,107
ADs and Managers - Only GT Employees,VC,Zoom,Build Your Personal Brand on LinkedIn,Navjot Rajiyal,May,896,101
Tier 1 Open to all - Only GT Employees,VC,Zoom,Build Your Personal Brand on LinkedIn,Navjot Rajiyal,July,298,87
Tier 1 Open to all - Only GT Employees,VC,Zoom,Build Your Personal Brand on LinkedIn,Navjot Rajiyal,Nov,208,34
Tier 1 & 2,VC,Zoom,Build Your Personal Brand on LinkedIn,Navjot Rajiyal,Jan,1054,99
Tier 1 & 2,VC,Zoom,Build Your Personal Brand on LinkedIn,Navjot Rajiyal,May,906,22
Tier 1 Open to all - Only GT Employees,VC,Zoom,Build Your Personal Brand on LinkedIn,Navjot Rajiyal,June,216,20
Tier 1 & 2,VC,Zoom,Know Your Firm,Nida Zaidi,Aug,1396,235
Tier 1 & 2,VC,Zoom,Know Your Firm,Nida Zaidi,Oct,8560,225
Tier 1 & 2,VC,Zoom,Know Your Firm,Nida Zaidi,Mar,1009,68
Tier 2 & 3,VC,Zoom,Know Your Firm,Nida Zaidi,May,170,75
ADs and Managers,VC,Zoom,Know Your Firm,Nida Zaidi,Jun,767,148
Managers and Above,VC,Zoom,Know Your Firm,Nida Zaidi,Sept,972,180
ADs and Managers,In person,Bangalore,Practise Lab,Vansh Chopra,Sept,48,16
ADs and Managers,In person,Bangalore,Practise Lab,Vansh Chopra,May,46,14
ADs and Managers,In person,Bangalore,Practise Lab,Vansh Chopra,Sept,75,26
ADs and Managers,In person,Gurgaon,Practise Lab,Vansh Chopra,Sept,53,19
ADs and Managers,In person,Gurgaon,Practise Lab,Vansh Chopra,May,51,13
ADs and Managers,In person,Gurgaon,Practise Lab,Vansh Chopra,Sept,86,30
ADs and Managers,In person,Mumbai,Practise Lab,Vansh Chopra,Sept,52,19
ADs and Managers,In person,Mumbai,Practise Lab,Vansh Chopra,May,51,19
ADs and Managers,In person,Mumbai,Practise Lab,Vansh Chopra,May,70,18
"Directors, ADs and Managers",In person,Hyderabad,Practise Lab,Vansh Chopra,Jun,41,17
ADs and Managers,In person,Bangalore,Practise Lab,Vansh Chopra,Jun,57,15
ADs and Managers,In person,Mumbai,Practise Lab,Vansh Chopra,Jun,100,14
ADs and Managers,In person,Gurgaon,Practise Lab,Vansh Chopra,Oct,173,40
ADs and Managers,In person,Gurgaon,Practise Lab,Vansh Chopra,Oct,59,17
ADs and Managers,In person,Gurgaon,Practise Lab,Vansh Chopra,May,55,20
ADs and Managers,In person,Gurgaon,Practise Lab,Vansh Chopra,Oct,74,31
ADs and Managers,In person,Mumbai,Practise Lab,Vansh Chopra,Oct,54,20
ADs and Managers,In person,Mumbai,Practise Lab,Vansh Chopra,May,55,16
ADs and Managers,In person,Mumbai,Practise Lab,Vansh Chopra,Oct,58,12
ADs and Managers,In person,Bangalore,Practise Lab,Vansh Chopra,May,81,14
ADs and Managers,In person,Bangalore,Practise Lab,Vansh Chopra,May,88,24
"Directors, ADs and Managers",In person,Hyderabad,Practise Lab,Vansh Chopra,Jun,41,18
ADs and Managers,In person,Bangalore,Practise Lab,Vansh Chopra,Jun,72,15
ADs and Managers,In person,Mumbai,Practise Lab,Vansh Chopra,Jun,125,23
ADs and Managers,In person,Gurgaon,Practise Lab,Vansh Chopra,Nov,176,36
ADs and Managers,In person,Bangalore,Practise Lab,Vansh Chopra,Nov,51,20
ADs and Managers,In person,Mumbai,Practise Lab,Vansh Chopra,Nov,52,17
ADs and Managers,In person,Mumbai,Practise Lab,Vansh Chopra,Nov,53,21
ADs and Managers,In person,GT One,Practise Lab,Vansh Chopra,Nov,50,17
ADs and Managers,In person,GT One,Practise Lab,Vansh Chopra,April,55,22
Tier 1 & 2,In person,Pune,Practise Lab,Vivek Arora,Jan,23,16
ADs and Managers,In person,Mumbai,Practise Lab,Kavita Lobo,Jan,50,19
ADs and Managers,In person,Mumbai,Practise Lab,Kavita Lobo,Jan,55,30
ADs and Managers,In person,Bangalore,Practise Lab,Kavita Lobo,Jan,51,19
ADs and Managers,In person,Bangalore,Practise Lab,Kavita Lobo,Jan,53,8
ADs and Managers,In person,Gurgaon,Practise Lab,Kavita Lobo,Jan,54,19
ADs and Managers,In person,Gurgaon,Practise Lab,Kavita Lobo,Mar,55,13
ADs and Managers,In person,Mumbai,Practise Lab,Vansh Chopra,Mar,50,11
ADs and Managers,In person,Mumbai,Practise Lab,Vansh Chopra,Apr,46,12
ADs and Managers,In person,Mumbai,Practise Lab,Kavita Lobo,Mar,50,17
ADs and Managers,In person,Gurgaon,Practise Lab,Vansh Chopra,Mar,50,10
ADs and Managers,In person,Gurgaon,Practise Lab,Vansh Chopra,Apr,52,15
ADs and Managers,In person,Bangalore,Practise Lab,Vansh Chopra,Apr,49,11
ADs and Managers,In person,Bangalore,Practise Lab,Vansh Chopra,Sept,42,12
Directors and Above,VC,Zoom,Leading through turbulence – Leading in crises ,"Ankit Jhamb, Vivek Iyer",Dec,457,133
Directors and Above,VC,Zoom,From fixed to flourishing – The growth mindset journey,"Ankit Jhamb, Fatema Hunaid",Jan,465,109
Directors and Above,VC,Zoom,FeelCraft: Emotional mastery,Kavita Lobo,Aug,488,73
Tier 1 Open to all &YCSL,VC,Zoom,Fireside Chat,"Ankit Jhamb, Prashant Mehra",Dec,507,160
Directors and Above,VC,Zoom,Fireside Chat,"Ankit Jhamb, Richard Rekhy",Sept,455,103
Directors and Above,VC,Zoom,Fireside Chat,"Ankit Jhamb, Deepankar Sanwalka",Jan,458,147
Directors and Above,VC,Zoom,Fireside Chat,Gaganpreet Singh Puri,Oct,490,47
Directors and Above,VC,Zoom,Fireside Chat,"Kalpana B , Vishal  S P",May,458,36
Directors and Above,VC,Zoom,Fireside Chat,"Rohan Lakhiyar, Sheetal Sharma",Sept,506,19
Directors and Above,In person,Gurgaon,Practise Lab,Ankit Jhamb,Oct,25,4
Directors and Above,In person,Gurgaon,Practise Lab,Ankit Jhamb,Nov,50,7
Directors and Above,In person,Bangalore,Practise Lab,Ankit Jhamb,Jan,13,9
Directors and Above,In person,Mumbai,Practise Lab,Ankit Jhamb,Jan,10,10
